Unicode,UTF-8,Description
U+1F468 U+200D U+1F468 U+200D U+1F467,👨‍👨‍👧,"family; man, man, girl"
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👨‍👧‍👦,"family; man, man, girl, boy"
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👨‍👧‍👧,"family; man, man, girl, girl"
U+1F468 U+200D U+1F469 U+200D U+1F466,👨‍👩‍👦,"family; man, woman, boy"
U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👨‍👩‍👦‍👦,"family; man, woman, boy, boy"
U+1F468 U+200D U+1F469 U+200D U+1F467,👨‍👩‍👧,"family; man, woman, girl"
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👨‍👩‍👧‍👦,"family; man, woman, girl, boy"
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👨‍👩‍👧‍👧,"family; man, woman, girl, girl"
U+1F468 U+200D U+1F4BB,👨‍💻,man technologist
U+1F468 U+200D U+1F4BC,👨‍💼,man office worker
U+1F468 U+200D U+1F527,👨‍🔧,man mechanic
U+1F468 U+200D U+1F52C,👨‍🔬,man scientist
U+1F468 U+200D U+1F680,👨‍🚀,man astronaut
U+1F468 U+200D U+1F692,👨‍🚒,man firefighter
U+1F468 U+200D U+1F9B0,👨‍🦰,man; red hair
U+1F468 U+200D U+1F9B1,👨‍🦱,man; curly hair
U+1F468 U+200D U+1F9B2,👨‍🦲,man; bald
U+1F468 U+200D U+1F9B3,👨‍🦳,man; white hair
U+1F468 U+200D U+2695 U+FE0F,👨‍⚕️,man health worker
U+1F468 U+200D U+2696 U+FE0F,👨‍⚖️,man judge
U+1F468 U+200D U+2708 U+FE0F,👨‍✈️,man pilot
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,👨‍❤️‍👨,"couple with heart; man, man"
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👨‍❤️‍💋‍👨,"kiss; man, man"
U+1F469,👩,woman
U+1F469 U+1F3FB,👩🏻,woman; light skin tone
U+1F469 U+1F3FB U+200D U+1F33E,👩🏻‍🌾,woman farmer; light skin tone
U+1F469 U+1F3FB U+200D U+1F373,👩🏻‍🍳,woman cook; light skin tone
U+1F469 U+1F3FB U+200D U+1F393,👩🏻‍🎓,woman student; light skin tone
U+1F469 U+1F3FB U+200D U+1F3A4,👩🏻‍🎤,woman singer; light skin tone
U+1F469 U+1F3FB U+200D U+1F3A8,👩🏻‍🎨,woman artist; light skin tone
U+1F469 U+1F3FB U+200D U+1F3EB,👩🏻‍🏫,woman teacher; light skin tone
U+1F469 U+1F3FB U+200D U+1F3ED,👩🏻‍🏭,woman factory worker; light skin tone
U+1F469 U+1F3FB U+200D U+1F4BB,👩🏻‍💻,woman technologist; light skin tone
U+1F469 U+1F3FB U+200D U+1F4BC,👩🏻‍💼,woman office worker; light skin tone
U+1F469 U+1F3FB U+200D U+1F527,👩🏻‍🔧,woman mechanic; light skin tone
U+1F469 U+1F3FB U+200D U+1F52C,👩🏻‍🔬,woman scientist; light skin tone
U+1F469 U+1F3FB U+200D U+1F680,👩🏻‍🚀,woman astronaut; light skin tone
U+1F469 U+1F3FB U+200D U+1F692,👩🏻‍🚒,woman firefighter; light skin tone
U+1F469 U+1F3FB U+200D U+1F9B0,👩🏻‍🦰,"woman; light skin tone, red hair"
U+1F469 U+1F3FB U+200D U+1F9B1,👩🏻‍🦱,"woman; light skin tone, curly hair"
U+1F469 U+1F3FB U+200D U+1F9B2,👩🏻‍🦲,"woman; light skin tone, bald"
U+1F469 U+1F3FB U+200D U+1F9B3,👩🏻‍🦳,"woman; light skin tone, white hair"
U+1F469 U+1F3FB U+200D U+2695 U+FE0F,👩🏻‍⚕️,woman health worker; light skin tone
U+1F469 U+1F3FB U+200D U+2696 U+FE0F,👩🏻‍⚖️,woman judge; light skin tone
U+1F469 U+1F3FB U+200D U+2708 U+FE0F,👩🏻‍✈️,woman pilot; light skin tone
U+1F469 U+1F3FC,👩🏼,woman; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F33E,👩🏼‍🌾,woman farmer; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F373,👩🏼‍🍳,woman cook; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F393,👩🏼‍🎓,woman student; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F3A4,👩🏼‍🎤,woman singer; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F3A8,👩🏼‍🎨,woman artist; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F3EB,👩🏼‍🏫,woman teacher; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F3ED,👩🏼‍🏭,woman factory worker; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F4BB,👩🏼‍💻,woman technologist; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F4BC,👩🏼‍💼,woman office worker; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F527,👩🏼‍🔧,woman mechanic; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F52C,👩🏼‍🔬,woman scientist; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F680,👩🏼‍🚀,woman astronaut; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F692,👩🏼‍🚒,woman firefighter; medium-light skin tone
U+1F469 U+1F3FC U+200D U+1F9B0,👩🏼‍🦰,"woman; medium-light skin tone, red hair"
U+1F469 U+1F3FC U+200D U+1F9B1,👩🏼‍🦱,"woman; medium-light skin tone, curly hair"
U+1F469 U+1F3FC U+200D U+1F9B2,👩🏼‍🦲,"woman; medium-light skin tone, bald"
U+1F469 U+1F3FC U+200D U+1F9B3,👩🏼‍🦳,"woman; medium-light skin tone, white hair"
U+1F469 U+1F3FC U+200D U+2695 U+FE0F,👩🏼‍⚕️,woman health worker; medium-light skin tone
U+1F469 U+1F3FC U+200D U+2696 U+FE0F,👩🏼‍⚖️,woman judge; medium-light skin tone
U+1F469 U+1F3FC U+200D U+2708 U+FE0F,👩🏼‍✈️,woman pilot; medium-light skin tone
U+1F469 U+1F3FD,👩🏽,woman; medium skin tone
U+1F469 U+1F3FD U+200D U+1F33E,👩🏽‍🌾,woman farmer; medium skin tone
U+1F469 U+1F3FD U+200D U+1F373,👩🏽‍🍳,woman cook; medium skin tone
U+1F469 U+1F3FD U+200D U+1F393,👩🏽‍🎓,woman student; medium skin tone
U+1F469 U+1F3FD U+200D U+1F3A4,👩🏽‍🎤,woman singer; medium skin tone
U+1F469 U+1F3FD U+200D U+1F3A8,👩🏽‍🎨,woman artist; medium skin tone
U+1F469 U+1F3FD U+200D U+1F3EB,👩🏽‍🏫,woman teacher; medium skin tone
U+1F469 U+1F3FD U+200D U+1F3ED,👩🏽‍🏭,woman factory worker; medium skin tone
U+1F469 U+1F3FD U+200D U+1F4BB,👩🏽‍💻,woman technologist; medium skin tone
U+1F469 U+1F3FD U+200D U+1F4BC,👩🏽‍💼,woman office worker; medium skin tone
U+1F469 U+1F3FD U+200D U+1F527,👩🏽‍🔧,woman mechanic; medium skin tone
U+1F469 U+1F3FD U+200D U+1F52C,👩🏽‍🔬,woman scientist; medium skin tone
U+1F469 U+1F3FD U+200D U+1F680,👩🏽‍🚀,woman astronaut; medium skin tone
U+1F469 U+1F3FD U+200D U+1F692,👩🏽‍🚒,woman firefighter; medium skin tone
U+1F469 U+1F3FD U+200D U+1F9B0,👩🏽‍🦰,"woman; medium skin tone, red hair"
U+1F469 U+1F3FD U+200D U+1F9B1,👩🏽‍🦱,"woman; medium skin tone, curly hair"
U+1F469 U+1F3FD U+200D U+1F9B2,👩🏽‍🦲,"woman; medium skin tone, bald"
U+1F469 U+1F3FD U+200D U+1F9B3,👩🏽‍🦳,"woman; medium skin tone, white hair"
U+1F469 U+1F3FD U+200D U+2695 U+FE0F,👩🏽‍⚕️,woman health worker; medium skin tone
U+1F469 U+1F3FD U+200D U+2696 U+FE0F,👩🏽‍⚖️,woman judge; medium skin tone
U+1F469 U+1F3FD U+200D U+2708 U+FE0F,👩🏽‍✈️,woman pilot; medium skin tone
U+1F469 U+1F3FE,👩🏾,woman; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F33E,👩🏾‍🌾,woman farmer; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F373,👩🏾‍🍳,woman cook; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F393,👩🏾‍🎓,woman student; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F3A4,👩🏾‍🎤,woman singer; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F3A8,👩🏾‍🎨,woman artist; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F3EB,👩🏾‍🏫,woman teacher; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F3ED,👩🏾‍🏭,woman factory worker; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F4BB,👩🏾‍💻,woman technologist; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F4BC,👩🏾‍💼,woman office worker; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F527,👩🏾‍🔧,woman mechanic; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F52C,👩🏾‍🔬,woman scientist; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F680,👩🏾‍🚀,woman astronaut; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F692,👩🏾‍🚒,woman firefighter; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+1F9B0,👩🏾‍🦰,"woman; medium-dark skin tone, red hair"
U+1F469 U+1F3FE U+200D U+1F9B1,👩🏾‍🦱,"woman; medium-dark skin tone, curly hair"
U+1F469 U+1F3FE U+200D U+1F9B2,👩🏾‍🦲,"woman; medium-dark skin tone, bald"
U+1F469 U+1F3FE U+200D U+1F9B3,👩🏾‍🦳,"woman; medium-dark skin tone, white hair"
U+1F469 U+1F3FE U+200D U+2695 U+FE0F,👩🏾‍⚕️,woman health worker; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+2696 U+FE0F,👩🏾‍⚖️,woman judge; medium-dark skin tone
U+1F469 U+1F3FE U+200D U+2708 U+FE0F,👩🏾‍✈️,woman pilot; medium-dark skin tone
U+1F469 U+1F3FF,👩🏿,woman; dark skin tone
U+1F469 U+1F3FF U+200D U+1F33E,👩🏿‍🌾,woman farmer; dark skin tone
U+1F469 U+1F3FF U+200D U+1F373,👩🏿‍🍳,woman cook; dark skin tone
U+1F469 U+1F3FF U+200D U+1F393,👩🏿‍🎓,woman student; dark skin tone
U+1F469 U+1F3FF U+200D U+1F3A4,👩🏿‍🎤,woman singer; dark skin tone
U+1F469 U+1F3FF U+200D U+1F3A8,👩🏿‍🎨,woman artist; dark skin tone
U+1F469 U+1F3FF U+200D U+1F3EB,👩🏿‍🏫,woman teacher; dark skin tone
U+1F469 U+1F3FF U+200D U+1F3ED,👩🏿‍🏭,woman factory worker; dark skin tone
U+1F469 U+1F3FF U+200D U+1F4BB,👩🏿‍💻,woman technologist; dark skin tone
U+1F469 U+1F3FF U+200D U+1F4BC,👩🏿‍💼,woman office worker; dark skin tone
U+1F469 U+1F3FF U+200D U+1F527,👩🏿‍🔧,woman mechanic; dark skin tone
U+1F469 U+1F3FF U+200D U+1F52C,👩🏿‍🔬,woman scientist; dark skin tone
U+1F469 U+1F3FF U+200D U+1F680,👩🏿‍🚀,woman astronaut; dark skin tone
U+1F469 U+1F3FF U+200D U+1F692,👩🏿‍🚒,woman firefighter; dark skin tone
U+1F469 U+1F3FF U+200D U+1F9B0,👩🏿‍🦰,"woman; dark skin tone, red hair"
U+1F469 U+1F3FF U+200D U+1F9B1,👩🏿‍🦱,"woman; dark skin tone, curly hair"
U+1F469 U+1F3FF U+200D U+1F9B2,👩🏿‍🦲,"woman; dark skin tone, bald"
U+1F469 U+1F3FF U+200D U+1F9B3,👩🏿‍🦳,"woman; dark skin tone, white hair"
U+1F469 U+1F3FF U+200D U+2695 U+FE0F,👩🏿‍⚕️,woman health worker; dark skin tone
U+1F469 U+1F3FF U+200D U+2696 U+FE0F,👩🏿‍⚖️,woman judge; dark skin tone
U+1F469 U+1F3FF U+200D U+2708 U+FE0F,👩🏿‍✈️,woman pilot; dark skin tone
U+1F469 U+200D U+1F33E,👩‍🌾,woman farmer
U+1F469 U+200D U+1F373,👩‍🍳,woman cook
U+1F469 U+200D U+1F393,👩‍🎓,woman student
U+1F469 U+200D U+1F3A4,👩‍🎤,woman singer
U+1F469 U+200D U+1F3A8,👩‍🎨,woman artist
U+1F469 U+200D U+1F3EB,👩‍🏫,woman teacher
U+1F469 U+200D U+1F3ED,👩‍🏭,woman factory worker
U+1F469 U+200D U+1F466,👩‍👦,"family; woman, boy"
U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👦‍👦,"family; woman, boy, boy"
U+1F469 U+200D U+1F467,👩‍👧,"family; woman, girl"
U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👧‍👦,"family; woman, girl, boy"
U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👧‍👧,"family; woman, girl, girl"
U+1F469 U+200D U+1F469 U+200D U+1F466,👩‍👩‍👦,"family; woman, woman, boy"
U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👩‍👦‍👦,"family; woman, woman, boy, boy"
U+1F469 U+200D U+1F469 U+200D U+1F467,👩‍👩‍👧,"family; woman, woman, girl"
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👩‍👧‍👦,"family; woman, woman, girl, boy"
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👩‍👧‍👧,"family; woman, woman, girl, girl"
U+1F469 U+200D U+1F4BB,👩‍💻,woman technologist
U+1F469 U+200D U+1F4BC,👩‍💼,woman office worker
U+1F469 U+200D U+1F527,👩‍🔧,woman mechanic
U+1F469 U+200D U+1F52C,👩‍🔬,woman scientist
U+1F469 U+200D U+1F680,👩‍🚀,woman astronaut
U+1F469 U+200D U+1F692,👩‍🚒,woman firefighter
U+1F469 U+200D U+1F9B0,👩‍🦰,woman; red hair
U+1F469 U+200D U+1F9B1,👩‍🦱,woman; curly hair
U+1F469 U+200D U+1F9B2,👩‍🦲,woman; bald
U+1F469 U+200D U+1F9B3,👩‍🦳,woman; white hair
U+1F469 U+200D U+2695 U+FE0F,👩‍⚕️,woman health worker
U+1F469 U+200D U+2696 U+FE0F,👩‍⚖️,woman judge
U+1F469 U+200D U+2708 U+FE0F,👩‍✈️,woman pilot
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,👩‍❤️‍👨,"couple with heart; woman, man"
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,👩‍❤️‍👩,"couple with heart; woman, woman"
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👩‍❤️‍💋‍👨,"kiss; woman, man"
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,👩‍❤️‍💋‍👩,"kiss; woman, woman"
U+1F46A,👪,family
U+1F46B,👫,woman and man holding hands
U+1F46C,👬,men holding hands
U+1F46D,👭,women holding hands
U+1F46E,👮,police officer
U+1F46E U+1F3FB,👮🏻,police officer; light skin tone
U+1F46E U+1F3FB U+200D U+2640 U+FE0F,👮🏻‍♀️,woman police officer; light skin tone
U+1F46E U+1F3FB U+200D U+2642 U+FE0F,👮🏻‍♂️,man police officer; light skin tone
U+1F46E U+1F3FC,👮🏼,police officer; medium-light skin tone
U+1F46E U+1F3FC U+200D U+2640 U+FE0F,👮🏼‍♀️,woman police officer; medium-light skin tone
U+1F46E U+1F3FC U+200D U+2642 U+FE0F,👮🏼‍♂️,man police officer; medium-light skin tone
U+1F46E U+1F3FD,👮🏽,police officer; medium skin tone
U+1F46E U+1F3FD U+200D U+2640 U+FE0F,👮🏽‍♀️,woman police officer; medium skin tone
U+1F46E U+1F3FD U+200D U+2642 U+FE0F,👮🏽‍♂️,man police officer; medium skin tone
U+1F46E U+1F3FE,👮🏾,police officer; medium-dark skin tone
U+1F46E U+1F3FE U+200D U+2640 U+FE0F,👮🏾‍♀️,woman police officer; medium-dark skin tone
U+1F46E U+1F3FE U+200D U+2642 U+FE0F,👮🏾‍♂️,man police officer; medium-dark skin tone
U+1F46E U+1F3FF,👮🏿,police officer; dark skin tone
U+1F46E U+1F3FF U+200D U+2640 U+FE0F,👮🏿‍♀️,woman police officer; dark skin tone
U+1F46E U+1F3FF U+200D U+2642 U+FE0F,👮🏿‍♂️,man police officer; dark skin tone
U+1F46E U+200D U+2640 U+FE0F,👮‍♀️,woman police officer
U+1F46E U+200D U+2642 U+FE0F,👮‍♂️,man police officer
U+1F46F,👯,people with bunny ears
U+1F46F U+200D U+2640 U+FE0F,👯‍♀️,women with bunny ears
U+1F46F U+200D U+2642 U+FE0F,👯‍♂️,men with bunny ears
U+1F470,👰,bride with veil
U+1F470 U+1F3FB,👰🏻,bride with veil; light skin tone
U+1F470 U+1F3FC,👰🏼,bride with veil; medium-light skin tone
U+1F470 U+1F3FD,👰🏽,bride with veil; medium skin tone
U+1F470 U+1F3FE,👰🏾,bride with veil; medium-dark skin tone
U+1F470 U+1F3FF,👰🏿,bride with veil; dark skin tone
U+1F471,👱,person; blond hair
U+1F471 U+1F3FB,👱🏻,"person; light skin tone, blond hair"
U+1F471 U+1F3FB U+200D U+2640 U+FE0F,👱🏻‍♀️,"woman; light skin tone, blond hair"
U+1F471 U+1F3FB U+200D U+2642 U+FE0F,👱🏻‍♂️,"man; light skin tone, blond hair"
U+1F471 U+1F3FC,👱🏼,"person; medium-light skin tone, blond hair"
U+1F471 U+1F3FC U+200D U+2640 U+FE0F,👱🏼‍♀️,"woman; medium-light skin tone, blond hair"
U+1F471 U+1F3FC U+200D U+2642 U+FE0F,👱🏼‍♂️,"man; medium-light skin tone, blond hair"
U+1F471 U+1F3FD,👱🏽,"person; medium skin tone, blond hair"
U+1F471 U+1F3FD U+200D U+2640 U+FE0F,👱🏽‍♀️,"woman; medium skin tone, blond hair"
U+1F471 U+1F3FD U+200D U+2642 U+FE0F,👱🏽‍♂️,"man; medium skin tone, blond hair"
U+1F471 U+1F3FE,👱🏾,"person; medium-dark skin tone, blond hair"
U+1F471 U+1F3FE U+200D U+2640 U+FE0F,👱🏾‍♀️,"woman; medium-dark skin tone, blond hair"
U+1F471 U+1F3FE U+200D U+2642 U+FE0F,👱🏾‍♂️,"man; medium-dark skin tone, blond hair"
U+1F471 U+1F3FF,👱🏿,"person; dark skin tone, blond hair"
U+1F471 U+1F3FF U+200D U+2640 U+FE0F,👱🏿‍♀️,"woman; dark skin tone, blond hair"
U+1F471 U+1F3FF U+200D U+2642 U+FE0F,👱🏿‍♂️,"man; dark skin tone, blond hair"
U+1F471 U+200D U+2640 U+FE0F,👱‍♀️,woman; blond hair
U+1F471 U+200D U+2642 U+FE0F,👱‍♂️,man; blond hair
U+1F472,👲,man with Chinese cap
U+1F472 U+1F3FB,👲🏻,man with Chinese cap; light skin tone
U+1F472 U+1F3FC,👲🏼,man with Chinese cap; medium-light skin tone
U+1F472 U+1F3FD,👲🏽,man with Chinese cap; medium skin tone
U+1F472 U+1F3FE,👲🏾,man with Chinese cap; medium-dark skin tone
U+1F472 U+1F3FF,👲🏿,man with Chinese cap; dark skin tone
U+1F473,👳,person wearing turban
U+1F473 U+1F3FB,👳🏻,person wearing turban; light skin tone
U+1F473 U+1F3FB U+200D U+2640 U+FE0F,👳🏻‍♀️,woman wearing turban; light skin tone
U+1F473 U+1F3FB U+200D U+2642 U+FE0F,👳🏻‍♂️,man wearing turban; light skin tone
U+1F473 U+1F3FC,👳🏼,person wearing turban; medium-light skin tone
U+1F473 U+1F3FC U+200D U+2640 U+FE0F,👳🏼‍♀️,woman wearing turban; medium-light skin tone
U+1F473 U+1F3FC U+200D U+2642 U+FE0F,👳🏼‍♂️,man wearing turban; medium-light skin tone
U+1F473 U+1F3FD,👳🏽,person wearing turban; medium skin tone
U+1F473 U+1F3FD U+200D U+2640 U+FE0F,👳🏽‍♀️,woman wearing turban; medium skin tone
U+1F473 U+1F3FD U+200D U+2642 U+FE0F,👳🏽‍♂️,man wearing turban; medium skin tone
U+1F473 U+1F3FE,👳🏾,person wearing turban; medium-dark skin tone
U+1F473 U+1F3FE U+200D U+2640 U+FE0F,👳🏾‍♀️,woman wearing turban; medium-dark skin tone
U+1F473 U+1F3FE U+200D U+2642 U+FE0F,👳🏾‍♂️,man wearing turban; medium-dark skin tone
U+1F473 U+1F3FF,👳🏿,person wearing turban; dark skin tone
U+1F473 U+1F3FF U+200D U+2640 U+FE0F,👳🏿‍♀️,woman wearing turban; dark skin tone
U+1F473 U+1F3FF U+200D U+2642 U+FE0F,👳🏿‍♂️,man wearing turban; dark skin tone
U+1F473 U+200D U+2640 U+FE0F,👳‍♀️,woman wearing turban
U+1F473 U+200D U+2642 U+FE0F,👳‍♂️,man wearing turban
U+1F474,👴,old man
U+1F474 U+1F3FB,👴🏻,old man; light skin tone
U+1F474 U+1F3FC,👴🏼,old man; medium-light skin tone
U+1F474 U+1F3FD,👴🏽,old man; medium skin tone
U+1F474 U+1F3FE,👴🏾,old man; medium-dark skin tone
U+1F474 U+1F3FF,👴🏿,old man; dark skin tone
U+1F475,👵,old woman
U+1F475 U+1F3FB,👵🏻,old woman; light skin tone
U+1F475 U+1F3FC,👵🏼,old woman; medium-light skin tone
U+1F475 U+1F3FD,👵🏽,old woman; medium skin tone
U+1F475 U+1F3FE,👵🏾,old woman; medium-dark skin tone
U+1F475 U+1F3FF,👵🏿,old woman; dark skin tone
U+1F476,👶,baby
U+1F476 U+1F3FB,👶🏻,baby; light skin tone
U+1F476 U+1F3FC,👶🏼,baby; medium-light skin tone
U+1F476 U+1F3FD,👶🏽,baby; medium skin tone
U+1F476 U+1F3FE,👶🏾,baby; medium-dark skin tone
U+1F476 U+1F3FF,👶🏿,baby; dark skin tone
U+1F477,👷,construction worker
U+1F477 U+1F3FB,👷🏻,construction worker; light skin tone
U+1F477 U+1F3FB U+200D U+2640 U+FE0F,👷🏻‍♀️,woman construction worker; light skin tone
U+1F477 U+1F3FB U+200D U+2642 U+FE0F,👷🏻‍♂️,man construction worker; light skin tone
U+1F477 U+1F3FC,👷🏼,construction worker; medium-light skin tone
U+1F477 U+1F3FC U+200D U+2640 U+FE0F,👷🏼‍♀️,woman construction worker; medium-light skin tone
U+1F477 U+1F3FC U+200D U+2642 U+FE0F,👷🏼‍♂️,man construction worker; medium-light skin tone
U+1F477 U+1F3FD,👷🏽,construction worker; medium skin tone
U+1F477 U+1F3FD U+200D U+2640 U+FE0F,👷🏽‍♀️,woman construction worker; medium skin tone
U+1F477 U+1F3FD U+200D U+2642 U+FE0F,👷🏽‍♂️,man construction worker; medium skin tone
U+1F477 U+1F3FE,👷🏾,construction worker; medium-dark skin tone
U+1F477 U+1F3FE U+200D U+2640 U+FE0F,👷🏾‍♀️,woman construction worker; medium-dark skin tone
U+1F477 U+1F3FE U+200D U+2642 U+FE0F,👷🏾‍♂️,man construction worker; medium-dark skin tone
U+1F477 U+1F3FF,👷🏿,construction worker; dark skin tone
U+1F477 U+1F3FF U+200D U+2640 U+FE0F,👷🏿‍♀️,woman construction worker; dark skin tone
U+1F477 U+1F3FF U+200D U+2642 U+FE0F,👷🏿‍♂️,man construction worker; dark skin tone
U+1F477 U+200D U+2640 U+FE0F,👷‍♀️,woman construction worker
U+1F477 U+200D U+2642 U+FE0F,👷‍♂️,man construction worker
U+1F478,👸,princess
U+1F478 U+1F3FB,👸🏻,princess; light skin tone
U+1F478 U+1F3FC,👸🏼,princess; medium-light skin tone
U+1F478 U+1F3FD,👸🏽,princess; medium skin tone
U+1F478 U+1F3FE,👸🏾,princess; medium-dark skin tone
U+1F478 U+1F3FF,👸🏿,princess; dark skin tone
U+1F479,👹,ogre
U+1F47A,👺,goblin
U+1F47B,👻,ghost
U+1F47C,👼,baby angel
U+1F47C U+1F3FB,👼🏻,baby angel; light skin tone
U+1F47C U+1F3FC,👼🏼,baby angel; medium-light skin tone
U+1F47C U+1F3FD,👼🏽,baby angel; medium skin tone
U+1F47C U+1F3FE,👼🏾,baby angel; medium-dark skin tone
U+1F47C U+1F3FF,👼🏿,baby angel; dark skin tone
U+1F47D,👽,alien
U+1F47E,👾,alien monster
U+1F47F,👿,angry face with horns
U+1F480,💀,skull
U+1F481,💁,person tipping hand
U+1F481 U+1F3FB,💁🏻,person tipping hand; light skin tone
U+1F481 U+1F3FB U+200D U+2640 U+FE0F,💁🏻‍♀️,woman tipping hand; light skin tone
U+1F481 U+1F3FB U+200D U+2642 U+FE0F,💁🏻‍♂️,man tipping hand; light skin tone
U+1F481 U+1F3FC,💁🏼,person tipping hand; medium-light skin tone
U+1F481 U+1F3FC U+200D U+2640 U+FE0F,💁🏼‍♀️,woman tipping hand; medium-light skin tone
U+1F481 U+1F3FC U+200D U+2642 U+FE0F,💁🏼‍♂️,man tipping hand; medium-light skin tone
U+1F481 U+1F3FD,💁🏽,person tipping hand; medium skin tone
U+1F481 U+1F3FD U+200D U+2640 U+FE0F,💁🏽‍♀️,woman tipping hand; medium skin tone
U+1F481 U+1F3FD U+200D U+2642 U+FE0F,💁🏽‍♂️,man tipping hand; medium skin tone
U+1F481 U+1F3FE,💁🏾,person tipping hand; medium-dark skin tone
U+1F481 U+1F3FE U+200D U+2640 U+FE0F,💁🏾‍♀️,woman tipping hand; medium-dark skin tone
U+1F481 U+1F3FE U+200D U+2642 U+FE0F,💁🏾‍♂️,man tipping hand; medium-dark skin tone
U+1F481 U+1F3FF,💁🏿,person tipping hand; dark skin tone
U+1F481 U+1F3FF U+200D U+2640 U+FE0F,💁🏿‍♀️,woman tipping hand; dark skin tone
U+1F481 U+1F3FF U+200D U+2642 U+FE0F,💁🏿‍♂️,man tipping hand; dark skin tone
U+1F481 U+200D U+2640 U+FE0F,💁‍♀️,woman tipping hand
U+1F481 U+200D U+2642 U+FE0F,💁‍♂️,man tipping hand
U+1F482,💂,guard
U+1F482 U+1F3FB,💂🏻,guard; light skin tone
U+1F482 U+1F3FB U+200D U+2640 U+FE0F,💂🏻‍♀️,woman guard; light skin tone
U+1F482 U+1F3FB U+200D U+2642 U+FE0F,💂🏻‍♂️,man guard; light skin tone
U+1F482 U+1F3FC,💂🏼,guard; medium-light skin tone
U+1F482 U+1F3FC U+200D U+2640 U+FE0F,💂🏼‍♀️,woman guard; medium-light skin tone
U+1F482 U+1F3FC U+200D U+2642 U+FE0F,💂🏼‍♂️,man guard; medium-light skin tone
U+1F482 U+1F3FD,💂🏽,guard; medium skin tone
U+1F482 U+1F3FD U+200D U+2640 U+FE0F,💂🏽‍♀️,woman guard; medium skin tone
U+1F482 U+1F3FD U+200D U+2642 U+FE0F,💂🏽‍♂️,man guard; medium skin tone
U+1F482 U+1F3FE,💂🏾,guard; medium-dark skin tone
U+1F482 U+1F3FE U+200D U+2640 U+FE0F,💂🏾‍♀️,woman guard; medium-dark skin tone
U+1F482 U+1F3FE U+200D U+2642 U+FE0F,💂🏾‍♂️,man guard; medium-dark skin tone
U+1F482 U+1F3FF,💂🏿,guard; dark skin tone
U+1F482 U+1F3FF U+200D U+2640 U+FE0F,💂🏿‍♀️,woman guard; dark skin tone
U+1F482 U+1F3FF U+200D U+2642 U+FE0F,💂🏿‍♂️,man guard; dark skin tone
U+1F482 U+200D U+2640 U+FE0F,💂‍♀️,woman guard
U+1F482 U+200D U+2642 U+FE0F,💂‍♂️,man guard
U+1F483,💃,woman dancing
U+1F483 U+1F3FB,💃🏻,woman dancing; light skin tone
